"filename", "language", "C#", "comment", "blank", "total"
"c:\Users\557580\Documents\GitHub\Quantonic\Assets\Scripts\AddOns\CustomButton.cs", "C#", 10, 4, 1, 15
"c:\Users\557580\Documents\GitHub\Quantonic\Assets\Scripts\AddOns\DontDestroyOnLoad.cs", "C#", 9, 0, 1, 10
"c:\Users\557580\Documents\GitHub\Quantonic\Assets\Scripts\AddOns\WaveMoveScript.cs", "C#", 39, 7, 9, 55
"c:\Users\557580\Documents\GitHub\Quantonic\Assets\Scripts\Core\Abilities\ControllableWaveScript.cs", "C#", 17, 0, 4, 21
"c:\Users\557580\Documents\GitHub\Quantonic\Assets\Scripts\Core\Controllables\Clone.cs", "C#", 16, 0, 3, 19
"c:\Users\557580\Documents\GitHub\Quantonic\Assets\Scripts\Core\Controllables\Controllable.cs", "C#", 155, 45, 36, 236
"c:\Users\557580\Documents\GitHub\Quantonic\Assets\Scripts\Core\Controllables\Player.cs", "C#", 41, 7, 9, 57
"c:\Users\557580\Documents\GitHub\Quantonic\Assets\Scripts\Core\Gates\BinaryGate.cs", "C#", 42, 4, 10, 56
"c:\Users\557580\Documents\GitHub\Quantonic\Assets\Scripts\Core\Gates\Gate.cs", "C#", 70, 27, 17, 114
"c:\Users\557580\Documents\GitHub\Quantonic\Assets\Scripts\Core\Gates\MultiGate.cs", "C#", 24, 4, 7, 35
"c:\Users\557580\Documents\GitHub\Quantonic\Assets\Scripts\Core\Gates\UnaryGate.cs", "C#", 51, 5, 12, 68
"c:\Users\557580\Documents\GitHub\Quantonic\Assets\Scripts\Core\Qubits\Qubit.cs", "C#", 53, 22, 13, 88
"c:\Users\557580\Documents\GitHub\Quantonic\Assets\Scripts\Core\Qubits\QubitCircuit.cs", "C#", 95, 34, 25, 154
"c:\Users\557580\Documents\GitHub\Quantonic\Assets\Scripts\Core\Qubits\QubitSubcircuit.cs", "C#", 238, 78, 60, 376
"c:\Users\557580\Documents\GitHub\Quantonic\Assets\Scripts\Enemies\Enemy.cs", "C#", 18, 0, 5, 23
"c:\Users\557580\Documents\GitHub\Quantonic\Assets\Scripts\Enemies\Features\ICollision.cs", "C#", 8, 6, 2, 16
"c:\Users\557580\Documents\GitHub\Quantonic\Assets\Scripts\Enemies\Features\IDeath.cs", "C#", 5, 3, 2, 10
"c:\Users\557580\Documents\GitHub\Quantonic\Assets\Scripts\Enemies\Features\Shooting\EnemyWaveScript.cs", "C#", 18, 0, 4, 22
"c:\Users\557580\Documents\GitHub\Quantonic\Assets\Scripts\Enemies\Features\Shooting\IShooting.cs", "C#", 6, 6, 2, 14
"c:\Users\557580\Documents\GitHub\Quantonic\Assets\Scripts\Enemies\Features\Shooting\ShootingDetector.cs", "C#", 21, 0, 5, 26
"c:\Users\557580\Documents\GitHub\Quantonic\Assets\Scripts\Enemies\Types\Immobile\FireScript.cs", "C#", 15, 0, 3, 18
"c:\Users\557580\Documents\GitHub\Quantonic\Assets\Scripts\Enemies\Types\Immobile\ImmobileEnemy.cs", "C#", 6, 0, 3, 9
