"filename", "language", "C#", "comment", "blank", "total"
"d:\Unity Projects\Quantonic\Assets\Scripts\AddOns\CustomButton.cs", "C#", 10, 4, 1, 15
"d:\Unity Projects\Quantonic\Assets\Scripts\AddOns\DontDestroyOnLoad.cs", "C#", 9, 0, 1, 10
"d:\Unity Projects\Quantonic\Assets\Scripts\AddOns\WaveMoveScript.cs", "C#", 39, 7, 9, 55
"d:\Unity Projects\Quantonic\Assets\Scripts\Core\Abilities\ControllableWaveScript.cs", "C#", 17, 0, 4, 21
"d:\Unity Projects\Quantonic\Assets\Scripts\Core\Controllables\Clone.cs", "C#", 16, 0, 3, 19
"d:\Unity Projects\Quantonic\Assets\Scripts\Core\Controllables\Controllable.cs", "C#", 207, 82, 50, 339
"d:\Unity Projects\Quantonic\Assets\Scripts\Core\Controllables\Player.cs", "C#", 43, 7, 9, 59
"d:\Unity Projects\Quantonic\Assets\Scripts\Core\Gates\BinaryGate.cs", "C#", 53, 4, 9, 66
"d:\Unity Projects\Quantonic\Assets\Scripts\Core\Gates\Gate.cs", "C#", 70, 27, 17, 114
"d:\Unity Projects\Quantonic\Assets\Scripts\Core\Gates\MultiGate.cs", "C#", 24, 4, 7, 35
"d:\Unity Projects\Quantonic\Assets\Scripts\Core\Gates\UnaryGate.cs", "C#", 51, 5, 12, 68
"d:\Unity Projects\Quantonic\Assets\Scripts\Core\Qubits\Qubit.cs", "C#", 87, 34, 23, 144
"d:\Unity Projects\Quantonic\Assets\Scripts\Core\Qubits\QubitCircuit.cs", "C#", 97, 34, 26, 157
"d:\Unity Projects\Quantonic\Assets\Scripts\Core\Qubits\QubitSubcircuit.cs", "C#", 296, 85, 70, 451
"d:\Unity Projects\Quantonic\Assets\Scripts\Enemies\Enemy.cs", "C#", 18, 0, 5, 23
"d:\Unity Projects\Quantonic\Assets\Scripts\Enemies\Features\ICollision.cs", "C#", 8, 6, 2, 16
"d:\Unity Projects\Quantonic\Assets\Scripts\Enemies\Features\IDeath.cs", "C#", 5, 3, 2, 10
"d:\Unity Projects\Quantonic\Assets\Scripts\Enemies\Features\Shooting\EnemyWaveScript.cs", "C#", 18, 0, 4, 22
