Date : 2021-10-27 19:44:25
Directory : d:\Unity Projects\Quantonic\Assets\Scripts
Total : 61 files,  3825 codes, 797 comments, 690 blanks, all 5312 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C#       |         61 |      3,825 |        797 |        690 |      5,312 |
+----------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                               | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                  |         61 |      3,825 |        797 |        690 |      5,312 |
| AddOns                                                                                             |          3 |         58 |         11 |         11 |         80 |
| Core                                                                                               |         11 |        961 |        282 |        230 |      1,473 |
| Core\Abilities                                                                                     |          1 |         17 |          0 |          4 |         21 |
| Core\Controllables                                                                                 |          3 |        266 |         89 |         62 |        417 |
| Core\Gates                                                                                         |          4 |        198 |         40 |         45 |        283 |
| Core\Qubits                                                                                        |          3 |        480 |        153 |        119 |        752 |
| Enemies                                                                                            |         10 |        161 |         24 |         38 |        223 |
| Enemies\Features                                                                                   |          5 |         58 |         15 |         15 |         88 |
| Enemies\Features\Shooting                                                                          |          3 |         45 |          6 |         11 |         62 |
| Enemies\Types                                                                                      |          4 |         85 |          9 |         18 |        112 |
| Enemies\Types\Immobile                                                                             |          3 |         78 |          6 |         16 |        100 |
| Enemies\Types\Mobile                                                                               |          1 |          7 |          3 |          2 |         12 |
| Inputs                                                                                             |          3 |        800 |         13 |         33 |        846 |
| Managers                                                                                           |          7 |        842 |        253 |        188 |      1,283 |
| Managers\Global                                                                                    |          2 |         68 |         13 |         14 |         95 |
| Managers\Stage                                                                                     |          4 |        753 |        234 |        169 |      1,156 |
| Managers\Stage\Spawn                                                                               |          2 |        201 |         68 |         52 |        321 |
| Quantum                                                                                            |         10 |        303 |         78 |         47 |        428 |
| Quantum\Operators                                                                                  |          8 |        118 |         41 |         20 |        179 |
| Quantum\Operators\Binary                                                                           |          2 |         36 |         18 |          5 |         59 |
| Quantum\Operators\Unary                                                                            |          5 |         66 |         15 |         10 |         91 |
| StateMachines                                                                                      |          9 |        315 |         49 |         65 |        429 |
| StateMachines\ControllableStateMachine                                                             |          4 |        157 |         20 |         33 |        210 |
| StateMachines\QubitStateMachine                                                                    |          3 |        131 |         13 |         22 |        166 |
| UI                                                                                                 |          8 |        385 |         87 |         78 |        550 |
| UI\QDP                                                                                             |          1 |         33 |          8 |          7 |         48 |
| UI\QQV                                                                                             |          4 |        262 |         60 |         47 |        369 |
+----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                           | language | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| d:\Unity Projects\Quantonic\Assets\Scripts\AddOns\CustomButton.cs                                  | C#       |         10 |          4 |          1 |         15 |
| d:\Unity Projects\Quantonic\Assets\Scripts\AddOns\DontDestroyOnLoad.cs                             | C#       |          9 |          0 |          1 |         10 |
| d:\Unity Projects\Quantonic\Assets\Scripts\AddOns\WaveMoveScript.cs                                | C#       |         39 |          7 |          9 |         55 |
| d:\Unity Projects\Quantonic\Assets\Scripts\Core\Abilities\ControllableWaveScript.cs                | C#       |         17 |          0 |          4 |         21 |
| d:\Unity Projects\Quantonic\Assets\Scripts\Core\Controllables\Clone.cs                             | C#       |         16 |          0 |          3 |         19 |
| d:\Unity Projects\Quantonic\Assets\Scripts\Core\Controllables\Controllable.cs                      | C#       |        207 |         82 |         50 |        339 |
| d:\Unity Projects\Quantonic\Assets\Scripts\Core\Controllables\Player.cs                            | C#       |         43 |          7 |          9 |         59 |
| d:\Unity Projects\Quantonic\Assets\Scripts\Core\Gates\BinaryGate.cs                                | C#       |         53 |          4 |          9 |         66 |
| d:\Unity Projects\Quantonic\Assets\Scripts\Core\Gates\Gate.cs                                      | C#       |         70 |         27 |         17 |        114 |
| d:\Unity Projects\Quantonic\Assets\Scripts\Core\Gates\MultiGate.cs                                 | C#       |         24 |          4 |          7 |         35 |
| d:\Unity Projects\Quantonic\Assets\Scripts\Core\Gates\UnaryGate.cs                                 | C#       |         51 |          5 |         12 |         68 |
| d:\Unity Projects\Quantonic\Assets\Scripts\Core\Qubits\Qubit.cs                                    | C#       |         87 |         34 |         23 |        144 |
| d:\Unity Projects\Quantonic\Assets\Scripts\Core\Qubits\QubitCircuit.cs                             | C#       |         97 |         34 |         26 |        157 |
| d:\Unity Projects\Quantonic\Assets\Scripts\Core\Qubits\QubitSubcircuit.cs                          | C#       |        296 |         85 |         70 |        451 |
| d:\Unity Projects\Quantonic\Assets\Scripts\Enemies\Enemy.cs                                        | C#       |         18 |          0 |          5 |         23 |
| d:\Unity Projects\Quantonic\Assets\Scripts\Enemies\Features\ICollision.cs                          | C#       |          8 |          6 |          2 |         16 |
| d:\Unity Projects\Quantonic\Assets\Scripts\Enemies\Features\IDeath.cs                              | C#       |          5 |          3 |          2 |         10 |
| d:\Unity Projects\Quantonic\Assets\Scripts\Enemies\Features\Shooting\EnemyWaveScript.cs            | C#       |         18 |          0 |          4 |         22 |
